threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,101.13.0.6
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,60.170.181.141
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,36.103.241.107
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,113.106.61.233
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,58.124.208.10
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,41.74.113.227
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,111.33.31.118
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,150.158.170.116
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,51.124.26.24
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,139.198.14.168
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.69.9.237
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,58.48.32.234
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,122.169.117.110
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.164.26.38
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,221.238.67.179
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,191.102.120.255
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,154.68.199.27
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,81.211.96.57
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,191.36.147.14
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,136.185.18.222
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,132.145.163.45
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,38.147.44.11
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,184.184.201.5
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,222.237.78.216
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,189.108.147.210
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,2.180.36.236
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,58.137.208.238
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,186.179.100.0
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,218.23.95.9
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,61.246.2.20
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,132.226.23.87
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,119.36.242.132
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.147.4.38
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,37.34.226.200
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,183.186.108.22
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,122.169.117.126
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,121.170.201.182
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,210.56.26.107
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,45.221.11.67
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,5.32.22.218
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,60.223.230.205
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,66.176.115.242
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,20.218.222.26
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,58.243.104.86
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,76.104.130.42
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,161.0.153.88
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,38.146.70.210
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,177.43.179.143
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,36.154.134.146
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,67.63.92.185
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,196.191.142.132
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,122.160.141.163
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,58.215.8.10
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,223.197.195.73
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,222.161.191.20
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,122.170.5.197
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,139.60.190.62
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,61.183.232.62
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,36.33.240.164
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,45.221.8.218
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,131.100.167.3
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,222.75.12.78
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,103.143.55.218
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,73.169.138.52
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,183.239.202.156
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,60.2.202.254
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,72.29.207.202
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,58.34.176.82
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,187.92.252.22
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,112.6.33.169
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,177.99.235.115
Malicious IP,FarmingFoes (Threat actor targetting support account),,,,,2023-03-08T15:30:00Z,,,,ipv4-addr,60.8.87.190
